FullName,AfterComma,KeyCode,Class,NameType,Other_Name_Info,familyName,givenName,birthDate,deathDate,OtherAssociatedDate,gender,nationality,Title,Info,Info_Cleaned,jobTitle,spouse,children,parent,sibling,relatedTo,Relationship,Record_About,Years_BD,Year_Married,Year_Remarried
"Albert 1er, prince de Saxe-Cobourg-Gotha, roi des Belges",", prince de Saxe-Cobourg-Gotha, roi des Belges",belgiq2,0,,,,,1875,1934,,Male,Belgian,King,"1875-1934, règne à partir de 1909",règne à partir de 1909,king,,,,,,,False,1875-1934,,
"Belin, Paul",", Paul",belin1,0,,,,,,,,Male,,,cousin de René Peter,cousin de René Peter,,,,,,,,False,,,
"Belin, Eugène",", Eugène",belin2,0,,,,,,,,Male,,,"cousin de René Peter, frère de Paul Belin",cousin de René Peter,,,,,,,,False,,,
"Bell, Clive",", Clive",bell2,0,,,,,1881,1964,,Male,,,"1881-1964; critique et homme de lettres, ljp",critique et homme de lettres,,,,,,,,False,1881-1964,,
"Bellaigue, Camille",", Camille",bellai1,0,,,,,1858,1930,,Male,,,"1858-1930, homme de lettres",homme de lettres,,,,,,,,False,1858-1930,,
"Bellaigue, Gabrielle Hoskier, Mme Camille",", Gabrielle Hoskier, Mme Camille",bellai2,0,,,,,,,,Female,,,,,,,,,,,,False,,,
"Bellenand, Louis",", Louis",bellen1,0,,,,,,,,Male,,,imprimeur à Fontenay-aux-Roses (Seine) (ALB),imprimeur à Fontenay-aux-Roses (Seine),,,,,,,,False,,,
"Belloy de Saint-Liénard, Hubert Marie Christian du",", Hubert Marie Christian du",belloy1,0,,,,,1865,,,Male,,,"1865-?, lieutenant de vaisseau, fils du marquis et de la marquise",lieutenant de vaisseau,,,,,,,,False,,,
"Belloy de Saint-Liénard, princesse Bibesco, Mme Cesiano, puis Mme du",", princesse Bibesco, Mme Cesiano, puis Mme du",belloy2,0,,,,,,,1902,Female,,,"fille du prince et de la princesse Nicolas Bibesco, soeur de la comtesse Starzenska, mariée pour la seconde fois en 1902",fille du prince et de la princesse Nicolas Bibesco,,,,,,,,False,,,
"Belloy de Saint-Liénard, marquis du",", marquis du",belloy3,0,,,,,,,,Male,,,père du lieutenant de vaisseau Belloy de Saint-Liénard,père du lieutenant de vaisseau Belloy de Saint-Liénard,,,,,,,,False,,,
"Belloy de Saint-Liénard, marquise du; née de Saint-Germain du Houlme",", marquise du; née de Saint-Germain du Houlme",belloy4,0,,,,,,,,Female,,,mère du lieutenant de vaisseau Belloy de Saint-Liénard,mère du lieutenant de vaisseau Belloy de Saint-Liénard,,,,,,,,False,,,
"Belot, Adolphe",", Adolphe",belot1,0,,,,,1829,1890,,Male,,,"1829-1890, auteur dramatique",auteur dramatique,,,,,,,,False,1829-1890,,
"Bélugou, Léon",", Léon",belugo1,0,,,,,,,,Male,,,,,,,,,,,,False,,,
"Bemberg, Hermann",", Hermann",bember1,0,,,,,1861,1931,,Male,,,"1861-1931, compositeur",compositeur,,,,,,,,False,1861-1931,,
"Bénac, Jean",", Jean",benac1,0,,,,,1891,1914,,Male,,,1891-1914,,,,,,,,great-uncle of: detoeu3,False,1891-1914,,
"Bénac, André",", André",benac2,0,,,,,1858,1937,,Male,,,"1858-1937, administrateur de la banque de Paris et des Pays Bas, père de Jean",administrateur de la banque de Paris et des Pays Bas,,,,,,,,False,1858-1937,,
"Radziwill, Marie de Benardaky, princesse Michel",", Marie de Benardaky, princesse Michel",benard1,0,,,,,1874,,,Female,,,1874-?,,,,,benard2; benard3,benard4; contad3,,,False,,,
"Benardaky, Marie de Lebrock, Mme Nicolas de",", Marie de Lebrock, Mme Nicolas de",benard2,0,,,,,,1913,,Female,,,"M?-1913, mère de Marie Benardaky",M,,benard3,benard1; contad1; benard4,lebroc1,,aunt of belgio1. sister-in-law of nisard1; nisard2,,False,,,
"Benardaky, Nicolas de",", Nicolas de",benard3,0,,,,,1837,1909,,Male,,,1837-1909,,,benard2,benard1; contad1; benard4,,nisard2,uncle of belgio1. son-in-law of lebroc1. brother-in-law of nisard1,,False,1837-1909,,
"Benardaky, Dimitri de",", Dimitri de",benard4,0,,,,,,1915,,Male,,,"?-1915, fils de Nicolas de Benardaky",fils de Nicolas de Benardaky,,,,benard2; benard3,benard1; contad1,grandson of lebroc1. nephew of nisard1; nisard2. cousin of belgio1.,,False,,,
"Benda, Julien",", Julien",benda1,0,,,,,1867,1956,,Male,,,"1867-1956, écrivain",écrivain,writer,,,,,,,False,1867-1956,,
"Bendahan, Daniel",", Daniel",bendah1,0,,,,,,,,Male,,,biographe de Reynaldo Hahn,biographe de Reynaldo Hahn,,,,,,,,False,,,
"Benedetti, comte Vincent",", comte Vincent",benede1,0,,,,,1817,1900,,Male,,,"1817-1900, diplomate, ami de la princesse Mathilde",diplomate,diplomat,,,,,,,False,1817-1900,,
"Bénézit, Emmanuel",", Emmanuel",benezi1,0,,,,,1854,1920,,Male,,,1854-1920,,,,,,,,,False,1854-1920,,
"Benjamin, Ernest",", Ernest",benjam1,0,,,,,,,1892,Male,,,Homme de lettres en 1892,homme de lettres,homme de lettres,,,,,,,False,,,
"Benjamin, René",", René",benjam2,0,,,,,1885,1948,,Male,,,"1885-1948, homme de lettres",homme de lettres,homme de lettres,,,,,,,False,1885-1948,,
"Bennett, Enoch Arnold",", Enoch Arnold",bennet1,0,,,,,1867,1931,,Male,English,,"1867-1931, écrivain anglais",écrivain anglais,writer,,,,,,,False,1867-1931,,
"Benois, Alexandre Nicolaïevitch",", Alexandre Nicolaïevitch",benois1,0,,,,,1870,1960,,Male,Russian,,"1870-1960, peintre russe, décorateur des Ballets Russes",peintre russe,painter,,,,,,,False,1870-1960,,
"Benoist-Méchin, Jacques-Gabriel-Paul-Michel, baron",", Jacques-Gabriel-Paul-Michel, baron",benoist1,0,,,,,1901,1983,,Male,,Baron,"1901-1983; fils de Gabriel Benoist-Méchin, industriel; homme de lettres, historien ljp",fils de Gabriel Benoist-Méchin,industrialist; homme de lettres; historian,,,,,,,False,1901-1983,,
"Benoît, Ferdinand-Marie-Pierre",", Ferdinand-Marie-Pierre",benoit1,0,,,,,1886,1962,,Male,,,1886-1962; homme de lettres ljp,homme de lettres,homme de lettres,,,,,,,False,1886-1962,,
"Bentzon, Marie-Thérèse de Solms, Mme Blanc, pseud. Thérèse",", Marie-Thérèse de Solms, Mme Blanc, pseud. Thérèse",benson1,0,,,,,1840,1907,,Female,,,"1840-1907,romancière,critique, traductrice",romancière,novelist,,,,,,,False,1840-1907,,
"Bérardi, Gaston",", Gaston",berard1,0,,,,,1857,1925,,Male,,,1857-1925?,,,,,,,,,False,1857-1925,,
"Bérard, Victor",", Victor",berard2,0,,,,,1864,1931,,Male,,,"1864-1931, homme de lettres",homme de lettres,homme de lettres,,,,,,,False,1864-1931,,
"Béraud, Jean",", Jean",beraud1,0,,,,,1850,1935,,Male,,,"1850-1935, peintre",peintre,painter,,,,,,,False,1850-1935,,
"Béraud, Henri",", Henri",beraud2,0,,,,,1885,1958,,Male,,,"1885-1958, homme de lettres",homme de lettres,homme de lettres,,,,,,,False,1885-1958,,
"Berckheim, Elisabeth de Pourtalès, baronne Christian de",", Elisabeth de Pourtalès, baronne Christian de",berckh1,0,,,,,,,,Female,,Baroness,"mariée en 1886, fille du comte Edmond de Pourtalès, soeur d'Agnès de Pourtalès, marquise de Loys-Chandieu ?",fille du comte Edmond de Pourtalès,,berckh3,,pourta3; pourta4,pourta1; pourta2; pourta7; pourta9,sister-in-law of pourta5; pourta8; loysch1,,False,,1886,
"Berckheim, baron Théodore de",", baron Théodore de",berckh2,0,,,,,1865,1936,,Male,,Baron,"1865-1936, diplomate",diplomate,diplomat,,,,,,,False,1865-1936,,
"Berckheim, Christian baron de",", Christian baron de",berckh3,0,,,,,1853,,,Male,,Baron,1853-?,,,berckh1,,,,son-in-law of pourta3; pourta4. brother-in-law of pourta1; pourta2; pourta5; pourta7; pourta8; pourta9; loysch1,,False,,,
"Berckheim, baronne de; née de Jaucourt",", baronne de; née de Jaucourt",berckh4,0,,,,,,,,Female,,Baroness,soeur du marquis Jean-François-Charles de Jaucourt,soeur du marquis Jean-François-Charles de Jaucourt,,,,,jaucou3,aunt of jaucou4. sister-in-law of jaucou1,,False,,,
"Bérenger, René",", René",bereng1,0,,,,,1830,1915,,Male,,,"1830-1915, avocat, homme politique, surnommé le ""Père la Pudeur"".",avocat,lawyer,,,,,,,False,1830-1915,,
"Bérenger, Henry",", Henry",bereng2,0,,,,,1867,,,Male,,,"1867-?, homme de lettres, homme politique",homme de lettres,homme de lettres,,,,,,,False,,,
"Berenson, Bernhard",", Bernhard",berens1,0,,,,,1865,1959,,Male,American,,"1865-1959, critique d'art américain",critique d'art américain,art critic,,,,,,,False,1865-1959,,
"Bergé, Marie",", Marie",berge1,0,,,,,,,,Female,,,,,,,,,,,,False,,,
"Berge, André",", André",berge2,0,,,,,1902,1995,,Male,,,"1902-1995, fils d'Antoinette Faure",fils d'Antoinette Faure,,,,berge3; faure4,berge4,,,False,1902-1995,,
"Berge, René",", René",berge3,0,,,,,,,,Male,,,"ingénieur civil, conseiller général",ingénieur civil,civil engineer,faure4,berge2; berge4,,,,,False,,,
"Berge, Jacques",", Jacques",berge4,0,,,,,1893,1914,,Male,,,"1893-1914, fils d'Antoinette Faure et René Berge",fils d'Antoinette Faure et René Berge,,,,berge3; faure4,berge2,,,False,1893-1914,,
"Berger, Elie",", Elie",berger2,0,,,,,1850,1925,,Male,,,"1850-1925, paléographe",paléographe,paleographer,,,,,,,False,1850-1925,,
"Berger, Marcel",", Marcel",berger3,0,,,,,1885,,,Male,,,"1885-?, homme de lettres",homme de lettres,homme de lettres,,,,,,,False,,,
"Bergerat, Auguste-Emile (pseud. Caliban, Ariel, l'Homme masqué)",", Auguste-Emile (pseud. Caliban, Ariel, l'Homme masqué)",berger4,0,,,,,1845,1923,1909,Male,,,1845-1923; candidat à l'Académie française en 1909; élu à l'Académie Goncourt le 21 mai 1919; rédacteur au Figaro (Kolb's name file) (LJP),candidat à l'Académie française,editor of le Figaro,,,,,,,False,1845-1923,,
"Bergson, Henri",", Henri",bergso1,0,,,,,1859,1941,,Male,,,1859-1941,,,neubur1,,,,,,False,1859-1941,,
"Berl, Alfred",", Alfred",berl1,0,,,,,,,,Male,,,"Avocat, oncle d'Emmanuel Berl",Avocat,lawyer,,,,,,,False,,,
"Berl, Emmanuel",", Emmanuel",berl2,0,,,,,1892,1976,,Male,,,"1892-1976, écrivain",écrivain,writer,,,,,uncle of berl2,,False,1892-1976,,
"Berlioz, Hector",", Hector",berlio1,0,,,,,1803,1869,,Male,,,"1803-1869, compositeur",compositeur,composer,,,,,nephew of berl1,,False,1803-1869,,
"Berma, La",", La",berma1,0,,,,,,,,Female,,,Personnage de la Recherche,personnage de la Recherche,,,,,,,,False,,,
"Bernard, Paul dit Tristan",", Paul dit Tristan",bernar1,0,,,,,1866,1947,,Male,,,"1866-1947, auteur dramatique",auteur dramatique,dramatist,bernar3,,,,father-in-law of bernar7,,False,1866-1947,,
"Bernard, Octave",", Octave",bernar2,0,,,,,,,,Male,,,président de la cour d'appel,président de la cour d'appel,president of the Court of Appeal,,,,,,,False,,,
"Bernard, Mme Tristan; née Bomsel",", Mme Tristan; née Bomsel",bernar3,0,,,,,,,,Female,,,,,,bernar1,,,,mother-in-law of bernar7,,False,,,
"Bernard, Maurice",", Maurice",bernar6,0,,,,,1877,1916,,Male,,,"1877-1916, avocat, juriste, homme politique",avocat,lawyer,,,,,,,False,1877-1916,,
"Bernard, Mme Etienne",", Mme Etienne",bernar7,0,,,,,,,,Female,,,belle-fille de Tristan Bernard ljp,belle-fille de Tristan Bernard,,,,,,,,False,,,
"Bernard, Abel",", Abel",bernar8,0,,,,,1883,,,Male,,,"1883- ; composed musical score to ""Les familiers"" with Gabriel Grovlez in 1908 (LJP)","composed musical score to ""Les familiers"" with Gabriel Grovlez in 1908",composer,,,,,,,False,,,
"Bernard-Lachat, Sacha",", Sacha",bernar9,0,,,,,1892,1982,,Male,,,"1892-1982, Connaissance de Proust et Montesquiou (THRA - to check - CORXIX-n89)",Connaissance de Proust et Montesquiou - to check - CORXIX-n89),,,,,,,,False,1892-1982,,
"Mayer, Ernestine Berncastel, Mme Samuel",", Ernestine Berncastel, Mme Samuel",bernca1,0,,,,,1830,1892,,Female,,,1830-1892,,,,mayer1; mayer3,,,,,False,1830-1892,,
"Berne-Bellecour, Etienne-Prosper",", Etienne-Prosper",berneb1,0,,,,,1828,1910,,Male,,,"1828-1910, peintre",peintre,painter,,,,,,,False,1828-1910,,
"Bernède, Arthur",", Arthur",berned1,0,,,,,1871,1937,,Male,,,"1871-1937, auteur dramatique",auteur dramatique,,,,,,,,False,1871-1937,,
"Bernhardt, Rosine Bernard, dite Sarah",", Rosine Bernard, dite Sarah",bernha1,0,,,,,1844,1923,,Female,,,1844-1923,,,,bernha3,,bernha2,,,False,1844-1923,,
"Bernhardt, Jeanne",", Jeanne",bernha2,0,,,,,,1900,,Female,,,"?-1900, soeur de Sarah Bernhardt",soeur de Sarah Bernhardt,,,bernha4,,bernha1,,,False,,,
"Bernhardt, Maurice",", Maurice",bernha3,0,,,,,1864,,,Male,,,"1864-?, fils de Sarah Bernhardt et du prince de Ligne (Henri Maximilien Joseph de Ligne); auteur dramatique (THRA - added)",fils de Sarah Bernhardt et du prince de Ligne (Henri Maximilien Joseph de Ligne),dramatist,,,bernha1,,,,False,,,
"Bernhardt, Sarah Planat, dite Sarita",", Sarah Planat, dite Sarita",bernha4,0,,,,,1869,1907,,Female,,,"1869?-1907, fille de Jeanne Bernhardt, la soeur de Sarah B., et d'Oscar Planat, comédienne",fille de Jeanne Bernhardt,comedian,,,bernha2,,,,False,1869-1907,,
"Bernheim, Léon",", Léon",bernhe3,0,,,Bernheim,,,,1903,Male,,,aux obsèques de Mme Rodrigues-Ely (1903),aux obsèques de Mme Rodrigues-Ely,,,,,,,,False,,,
"Bernheim, Adrien",", Adrien",bernhe4,0,,,Bernheim,,1861,1914,,Male,,,"1861-1914, écrivain, critique dramatique",écrivain,writer,,,,,,,False,1861-1914,,
"Bernheim, Dr Hippolyte",", Dr Hippolyte",bernhe5,0,,,Bernheim,,1840,1919,,Male,,,1840-1919,,doctor,,,,,,,False,1840-1919,,
"Bernis, Henriette Thomas-Galline, comtesse *Pierre* de Pierre de",", Henriette Thomas-Galline, comtesse *Pierre* de Pierre de",bernis1,0,,,,,1851,,,Female,,Countess,"1851-?, soeur des baronnes Ernest et Aimery Harty de Pierrebourg",soeur des baronnes Ernest et Aimery Harty de Pierrebourg,,,,,,,,False,,,
"Bernstein, Henry",", Henry",bernst1,0,,,,,1876,1953,,Male,,,"1876-1953, auteur dramatique",auteur dramatique,dramatist,bernst4,bernst5,,,,,False,1876-1953,,
"Bernstein-Gruber, Georges",", Georges",bernst2,0,,,,,,,,Male,,,,,,,,,,,,False,,,
"Bernstein, Marcel",", Marcel",bernst3,0,,,,,,,,Male,,,,,,,,,,,,False,,,
"Bernstein, Antoinette Pottier, Mme Joseph Martin puis Mme Henry",", Antoinette Pottier, Mme Joseph Martin puis Mme Henry",bernst4,0,,,,,,,,Female,,,,,,bernst1,,,,,,False,,,
"Bernstein, Yvette",", Yvette",bernst5,0,,,,,,,,Female,,,Fille d'Henry Bernstein,Fille d'Henry Bernstein,,,,bernst1,,,,False,,,
"Berny, Jules",", Jules",berny1,0,,,,,,,1898,Male,,,"musicien, interprète des oeuvres de Hahn en 1898",musicien,musician,,,,,,,False,,,
"Berr, Emile",", Emile",berr1,0,,,,,1855,1923,,Male,,,"1855-1923, journaliste",journaliste,journalist,,,,,,,False,1855-1923,,
"Berr de Turique, Julien",", Julien",berr2,0,,,,,1863,1923,,Male,,,"1863-1923, auteur dramatique, romancier",romancier,novelist,,,,,,,False,1863-1923,,
"Berry, Georges",", Georges",berr3,0,,,,,,,,Male,,,auteur dramatique et officier de la Légion d'Honneur,auteur dramatique et officier de la Légion d'Honneur,dramatist; officer in la Légion d'Honneur,,,,,,,False,,,
"Berret, Paul Antoine",", Paul Antoine",berret1,0,,,,,1861,1943,,Male,,,"1861-1943, professeur, écrivain",professeur,professor,,,,,,,False,1861-1943,,
"Berry, Georges",", Georges",berry1,0,,,,,1852,1915,,Male,,,"1852-1915, député de Paris",député de Paris,deputy of Paris,,,,,,,False,1852-1915,,
"Berry, Walter van Rensselaer",", Walter van Rensselaer",berry2,0,,,,,1859,1927,,Male,,,"1859-1927, avocat, pdt de la chambre de commerce américaine de Paris",avocat,lawyer,,,,,,,False,1859-1927,,
"Bersani, Jacques",", Jacques",bersan1,0,,,,,1936,,,Male,,,"1936-?, chercheur littérature française moderne et contemporaine, éditeur de Proust. (THRA)",chercheur littérature française moderne et contemporaine,researcher in modern and contemporary French literature; editor of Proust,,,,,,,False,,,
"Bert, Paul",", Paul",bert1,0,,,,,1833,1886,,Male,,,"1833-1886, homme politique",homme politique,politician,,,,,,,False,1833-1886,,
"Bert, Charles",", Charles",bert2,0,,,,,,,1908,Male,,,nom ou pseudonyme d'un collaborateur du Gil Blas en 1908,nom ou pseudonyme d'un collaborateur du Gil Blas,contributor to Gil Blas,,,,,,,False,,,
"Berteaux, Maurice",", Maurice",bertea1,0,,,,,1852,1911,,Male,,,"1852-1911, homme politique",homme politique,politician,,,,,,,False,1852-1911,,
"Berteux, Marie de Jurjewicz, comtesse Jean de",", Marie de Jurjewicz, comtesse Jean de",berteu1,0,,,,,,,1910,Female,,Countess,en 1910,,,,,,,,,False,,,
"Berthaut, Léon",", Léon",bertha1,0,,,,,1864,,,Male,,,"1864-?, homme de lettres",homme de lettres,homme de lettres,,,,,,,False,,,
"Berthelot, Philippe",", Philippe",berthe1,0,,,,,1866,1934,1914,Male,,,"1866-1934, fils de Marcellin Berthelot, homme politique",fils de Marcellin Berthelot,,berthe8,,berthe5,berthe2,,,False,1866-1934,,
"Berthelot, Daniel",", Daniel",berthe2,0,,,,,1865,1927,,Male,,,"1865-1927, fils de Marcellin Berthelot, professeur de médecine",fils de Marcellin Berthelot,,,,berthe5,berthe1,,,False,1865-1927,,
"Berthelin, Georges",", Georges",berthe3,0,,,,,1852,1904,,Male,,,"1852?-1904, secrétaire d'ambassade",secrétaire d'ambassade,embassy secretary,,,,,,,False,1852-1904,,
"Berthelot, chanoine",", chanoine",berthe4,0,,,,,,,1905,Male,,,"au mariage de Robert d'Humières, en 1905",au mariage de Robert d'Humières,canon,,,,,,,False,,,
"Berthelot, Marcelin",", Marcelin",berthe5,0,,,,,1827,1907,,Male,,,"1827-1907, savant, homme de lettres",savant,savant; homme de lettres,,berthe1; berthe2,,,,,False,1827-1907,,
"Bertheroy, Berthe Jeanne Corinne de Clotte-Le Barillier, pseud. Jean",", Berthe Jeanne Corinne de Clotte-Le Barillier, pseud. Jean",berthe6,0,,,,,1868,1927,,Female,,,"1868-1927, femme de lettres",femme de lettres,femme de lettres,,,,,,,False,1868-1927,,
"Berthelier, Jean-Baptiste dit Henri",", Jean-Baptiste dit Henri",berthe7,0,,,,,1856,,,Male,,,"1856-?, compositeur, professeur au Conservatoire",compositeur,composer,,,,,,,False,,,
"Berthelot, Hélène Linder, Mme Philippe",", Hélène Linder, Mme Philippe",berthe8,0,,,,,1867,1955,1914,Female,,,"1867-1955, mariée en 1914",,,berthe1,,,,,,False,1867-1955,1914,
"Berthier, vicomtesse; née Bergès",", vicomtesse; née Bergès",berthi2,0,,,,,,,,Female,,Vicountess,mère des comtesses de Maleville,mère des comtesses de Maleville,,,malevi1; malevi2,,,,,False,,,
"Bertholhomme, Antoine",", Antoine",bertho1,0,,,,,,,,Male,,,concierge,concierge,concierge,,,,,,,False,,,
"Berthon, André",", André",bertho2,0,,,,,1882,1968,,Male,,,"1882-1968, avocat, homme politique",avocat,lawyer; politician,,,,,,,False,1882-1968,,
"Bertie, Francis Levenson",", Francis Levenson",bertie1,0,,,,,1844,1919,,Male,English,,"1844-1919, diplomate anglais",diplomate anglais,diplomat,bertie2,,,,,,False,1844-1919,,
"Bertie, lady Feodorowna Cecilia Wellesley, Mrs Francis",", lady Feodorowna Cecilia Wellesley, Mrs Francis",bertie2,0,,,,,,,,Female,,,mariée en 1874,,,bertie1,,,,,,False,,1874,
"Bertin-Mourot, commandant Albert-Léon",", commandant Albert-Léon",bertin1,0,,,,,,,,Male,,,Affaire Dreyfus,Affaire Dreyfus,commandant,,,,,,,False,,,
"Berton, Claude",", Claude",berton1,0,,,,,1865,,,Male,,,"1865-?, romancier, auteur dramatique",romancier,novelist,,,,,,,False,,,
"Berton, Aug.",", Aug.",berton2,0,,,,,,,1906,Male,,,mineur rescapé de la catastrophe de Courrières (1906),mineur rescapé de la catastrophe de Courrières,miner; survived the catastrophe de Courrières,,,,,,,False,,,
"Berton, Thérèse Meilhan, Mme Pierre",", Thérèse Meilhan, Mme Pierre",berton3,0,,,,,,,1910,Female,,,"traductrice, en 1910.",traductrice,translator,,,,,,,False,,,
"Bertrand, Louis",", Louis",bertra1,0,,,,,1866,1941,,Male,,,"1866-1941, écrivain",écrivain,writer,,,,,,,False,1866-1941,,
"Bertrand, Antoine",", Antoine",bertra2,0,,,,,,,,Male,,,Curiosités esthétiques de R. de M-F,Curiosités esthétiques de R. de M-F,,,,,,,,False,,,
"Bertrand, Charles",", Charles",bertra3,0,,,,,,,1913,Male,,,propriétaire du Grand Hôtel de Cabourg en 1913,propriétaire du Grand Hôtel de Cabourg,owner of the Grand Hotel de Cabourg,,,,,,,False,,,
"Bertrand, Adrien",", Adrien",bertra4,0,,,,,1888,1917,,Male,,,"1888-1917, romancier",romancier,novelist,,,,,,,False,1888-1917,,
"Bertron ou Bertrou, Maître Gabriel",", Maître Gabriel",bertro1,0,,,,,,,,Male,,Master,avocat de Marcel Habert,avocat de Marcel Habert,lawyer,,,,,,,False,,,
"Bertulus, Paul",", Paul",bertul1,0,,,,,1851,1917,,Male,,,"1851-1917, juge d'instruction (affaire Dreyfus)",juge d'instruction (affaire Dreyfus),judge,,,,,,,False,1851-1917,,
"Bérulle, marquise de; née de Chabrol",", marquise de; née de Chabrol",berull1,0,,,,,,,,Female,,Marquise,,,,,,,,,,False,,,
"Besnard, Albert",", Albert",besnar1,0,,,,,1849,1934,,Male,,,"1849-1934, peintre",peintre,painter,,,,,,,False,1849-1934,,
"Besnard, vice-amiral Armand-Louis-Charles-Gustave",", vice-amiral Armand-Louis-Charles-Gustave",besnar2,0,,,,,1833,1903,,Male,,,1833-1903,,vice-admiral,besnar3,,,,,,False,1833-1903,,
"Besnard, Lucien",", Lucien",besnar4,0,,,,,1872,,,Male,,,"1872-?, auteur dramatique",auteur dramatique,dramatist,,,,,,,False,,,
"Besnard, Louis",", Louis",besnar5,0,,,,,,,,Male,,,"peintre, fils d'Albert Besnard (?)",peintre,painter,besnar6,,besnar1?,,,,False,,,
"Besnard, Nelly de La Montagnie, Mme Louis",", Nelly de La Montagnie, Mme Louis",besnar6,0,,,,,,,,Female,,,,,,besnar5,,,,,,False,,,
"Bessand, Léon",", Léon",bessan1,0,,,,,,,,Male,,,gendre de Jules Massenet,gendre de Jules Massenet,,bessan2,,,,,son-in-law of massen1; massen2,False,,,
"Bessand, Juliette Massenet, Mme Léon",", Juliette Massenet, Mme Léon",bessan2,0,,,,,1868,1935,,Female,,,"1868-1935, mariée en 1887, fille de Jules Massenet",fille de Jules Massenet,,bessan1,,massen1; massen2,,,,False,1868-1935,1887,
"Besse, Auguste-Louis",", Auguste-Louis",besse1,0,,,,,1864,,,Male,,,1864-?; homme d'affaires (Kolb Name Card) (ALB),homme d'affaires (Kolb Name Card),businessman,,,,,,,False,,,
"Bessière, Casimir",", Casimir",bessie1,0,,,Bessière,,1829,1892,,Male,,,"1829-1892, agent d'assurances",agent d'assurances,insurance agent,bessie2,bessie5,,,,,False,1829-1892,,
"Bessière, Hélène ""Nuna"" Weil, Mme Casimir",", Hélène ""Nuna"" Weil, Mme Casimir",bessie2,0,,,Bessière,,1848,1925,,Female,,,1848-1925,,,bessie1,bessie5,,,,,False,1848-1925,,
"Bessière, Jean-Pierre",", Jean-Pierre",bessie3,0,,,Bessière,,1880,1955,,Male,,,1880-1955,,,,,,,,,False,1880-1955,,
"Bréhant, Amélie Bessière, Mme Roger",", Amélie Bessière, Mme Roger",bessie4,0,,,,,1877,1974,,Female,,,1877-1974,,,brehan2,,,,,,False,1877-1974,,
"Bessière, Jacques",", Jacques",bessie5,0,,,Bessière,,1875,1906,,Male,,,"1875-1906, fils aîné de Casimir Bessière",fils aîné de Casimir Bessière,,,,bessie1; bessie2,,,,False,1875-1906,,
"Béthane, Mme la comtesse de, née de Montesquiou-Fezensac",", Mme la comtesse de, née de Montesquiou-Fezensac",bethan1,0,,,,,,1900,,Female,,Countess,"?-1900, cousine de la comtesse Greffulhe",cousine de la comtesse Greffulhe,,,,,,monfez0; cousin of greffu1?,,False,,,
"Bethmann, baron Hugo de",", baron Hugo de",bethma1,0,,,,,,,,Male,,Baron,,,,,,,,,,False,,,
"Bethmont, Paul-Louis-Gabriel",", Paul-Louis-Gabriel",bethmo1,0,,,,,1833,1889,,Male,,,"1833-1889, homme politique, président de la Cour des Comptes",homme politique,politiican,,,,,,,False,1833-1889,,
"Beulé, Ernest",", Ernest",beule1,0,,,,,1826,1874,,Male,,,"1826-1874, historien",historien,historian,,,,,,,False,1826-1874,,
"Beulé, Mme Ernest, née Chauvin",", Mme Ernest, née Chauvin",beule2,0,,,,,,1899,,Female,,,?-1899,,,,,,,,,False,,,
"Beyens, Eugène baron",", Eugène baron",beyens1,0,,,,,1855,,,Male,Belgian,Baron,"1855-?, diplomate belge",diplomate belge,diplomat,,,,,,,False,,,
"Biart, Lucien",", Lucien",biart1,0,,,,,1828,1897,,Male,,,"1828-1897, homme de lettres, voyageur",homme de lettres,homme de lettres,,,,,,,False,1828-1897,,
"Bibesco, prince Antoine",", prince Antoine",bibesc1,0,,,Bibesco,,1878,1951,,Male,,Prince,1878-1951,,,bibesc7,bibesc5,bibesc3; bibesc6,bibesc2,,,False,1878-1951,,
"Bibesco, prince Georges Valentin",", prince Georges Valentin",bibesc10,0,,,Bibesco,,1880,,,Male,,Prince,"1880-?, époux de Marthe Bibesco",époux de Marthe Bibesco,,bibesc4,,bibesc12; bibesc13,bibesc9,,,False,,,
"Bibesco, prince Nicolas",", prince Nicolas",bibesc11,0,,,Bibesco,,,,,Male,,Prince,"Oncle de Spiridon Bibesco, aide de camp de Trochu, frère des princes Georges et Alexandre?",Oncle de Spiridon Bibesco,,bibesc14,,bibesc8,,uncle of bibesc16,,False,,,
"Bibesco, prince Georges",", prince Georges",bibesc12,0,,,Bibesco,,1834,1902,,Male,,Prince,"1834-1902, frère du prince Alexandre, oncle d'Antoine et Emmanuel Bibesco",frère du prince Alexandre,,bibesc13,bibesc9; bibesc10,bibesc8,bibesc6; bibesc11,,,False,1834-1902,,
"Bibesco, Valentine de Riquet, comtesse de Caraman-Chimay, princesse Paul de Bauffremont, puis princesse Georges",", Valentine de Riquet, comtesse de Caraman-Chimay, princesse Paul de Bauffremont, puis princesse Georges",bibesc13,0,,,Bibesco,,1839,1914,1902,Female,,Countess; Princess,"1839-1914, épouse de Georges Bibesco mort en 1902",,,bibesc12,"bibesc9, bibesc10",,,,wife of: Georges Bibesco mort,False,1839-1914,,
"Bibesco, princesse Nicolas; née d'Elchingen",", princesse Nicolas; née d'Elchingen",bibesc14,0,,,Bibesco,,,,,Female,,Princess,,,,bibesc11,,,,,,False,,,
